complaint,station,category,priorityLevel
Pedestrian Area: Unclean water purifiers and toilets.,Pedestrian,Cleanliness,Low
Classroom: Mid semester examination.,Classroom,Academics,Low
Classroom: Isa comprising of attendance.,Classroom,Academics,Low
"Classroom: ISA marks affect the SGPA, and this is unfair.",Classroom,Academics,Low
Hostel: There is too much oil in the food.,Hostel,Mess/Food,Low
"Food quality in the mess is honestly below average. The paneer gravy is watery, the vegetables have no taste, and the same menu is served every day. Please bring more variety.",Hostel,Mess/Food,Medium
"Classroom: Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Classroom,Other,Low
Library: Libraries AC is not working.,Library,Technical Issues,Low
Unavailability of AC in library.,Library,Technical Issues,Low
"Professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. Double standard bahut frustrating hai.",Classroom,Ragging,Medium
Hostel: Food is not affordable for OHU students.,Hostel,Mess/Food,Low
"A faculty member shouts at students who ask doubts. Because of this, students are afraid to ask questions in class. Terrible teaching environment.",Classroom,Ragging,Medium
Library: There is water leakage in the building.,Library,Infrastructure,Medium
Library: During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Library,Technical Issues,Low
"Hostel: In college, the responsibility for cleaning is placed only on the cleaning staff, but there is no quality check by the administration. Create an accountability system.",Hostel,Cleanliness,Low
Hostel: The canteen closes early sometimes without any notice. Students who have labs until late have no food option. Extend the timing.,Hostel,Mess/Food,Low
"Hostel corridor cleaning happens only on weekends. Within 5 days, the corridor becomes so dirty that walking there becomes uncomfortable.",Hostel,Cleanliness,Low
"Library: In college, the responsibility for cleaning is placed only on the cleaning staff, but there is no quality check by the administration. Create an accountability system.",Library,Cleanliness,Low
Classroom: There is a lot of pressure regarding CGPA.,Classroom,Academics,Low
"Classroom floors are swept but not mopped. Sticky floors, stains, and marks everywhere. Proper floor cleaning with disinfectant is required.",Classroom,Cleanliness,Low
The geyser in the C wing of the hostel block does not work. Taking a bath with cold water in winter is not okay. Please fix it.,Hostel,Infrastructure,Medium
"A professor humiliated a student in the exam after accusing them of cheating. Strict action is understandable, but public humiliation is not.",Classroom,Ragging,Medium
Classroom: Monday tests again.,Classroom,Academics,Low
Classroom: Monday test.,Classroom,Academics,Low
Library: Some people constantly spams publicity a survey msg which distracts other people from reading important messages Ã°ÂÂ¤Â§Ã°ÂÂ¤Â§.,Library,Other,Low
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Classroom,Technical Issues,Low
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Hostel,Technical Issues,Medium
"Library: Students from North India, South India and other regions face social isolation because of language and cultural barriers. No integration programs.",Library,Other,Low
Classroom: There may be a virus on the PC; it is too slow.,Classroom,Technical Issues,Low
"Hostel: Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Hostel,Other,Low
The mess doesn't cater well to students with dietary restrictions. No proper vegetarian options beyond the standard menu. Some variety please.,Hostel,Mess/Food,Low
Hostel: The cleaning staff doesn't clean under benches in the canteen. Food particles accumulate there attracting cockroaches and ants.,Hostel,Cleanliness,Low
Lectures timings are too hectic 9 to 5 45.,Classroom,Academics,Low
The teacher uses sarcasm unnecessarily in class.,Classroom,Ragging,Medium
Classroom: Students are not given access to the iMac lab. Such expensive hardware has dust on it. What is the point of buying it if students cannot use it?,Classroom,Technical Issues,Low
Hostel: As an OHU student There is a shortage of papad. Low-quality food. Bad taste. It looks like there is a lot of adulteration. The chapati is too thin. The Misal pav bread is not good quality. The Chawli vegetable served with the gravy on Monday was smelly.,Hostel,Mess/Food,Low
Classroom: Rugved Deolekar sir behaved very badly just because a student did not have an ID card. He loudly scolded the student in front of everyone and used rude language. That is not how you should speak to students.,Classroom,Ragging,Medium
"The language problem is serious in college. For students from outside Maharashtra, Marathi-medium faculty are a major barrier. Some professors teach the entire class in Marathi and speak only one line in English at the end. Non-Marathi students remain completely lost throughout the lecture. The teaching medium should be English or Hindi as per university guidelines. Please enforce this properly.",Classroom,Other,Low
"Professors come to class, explain one thing, and leave. Do they check whether students understood? No. Was the assignment given and checked? No. Then if the exam result is poor, it is the students' fault. There is no accountability for teachers in this college. And attendance? They have zero accountability, but we are required to maintain 75%. This is completely unfair.",Classroom,Academics,Low
Hostel: The college notice boards are broken and papers fall off constantly. Small thing but makes the whole environment look neglected.,Hostel,Infrastructure,Medium
Classroom: The projector is not working in the lab.,Classroom,Technical Issues,Medium
The teacher made a personal comment.,Classroom,Ragging,Medium
Hostel: What we get for 60 rupees does not even seem worth 30 rupees. Reduce the price or improve the quality. Both cannot continue like this.,Hostel,Mess/Food,Low
"Hostel: Sometimes the food in the canteen is not covered. Flies are flying around, and the staff does not seem to care. This is a health hazard.",Hostel,Mess/Food,Low
"Hostel: Vending machine accepts only exact change no change given back, no card/UPI. This is 2026, please upgrade the machine.",Hostel,Other,Low
"Pedestrian Area: The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Pedestrian,Infrastructure,Medium
broken benches in classroom.,Classroom,Infrastructure,Medium
Pedestrian Area: The syllabus is outdated.,Pedestrian,Academics,Low
Classroom: A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Classroom,Ragging,High
Library: The college network blocks many websites including some coding platforms which we need for assignments. Please whitelist educational sites.,Library,Technical Issues,Low
Classroom: net bahut slow hai.,Classroom,Technical Issues,Low
"During rains, water leaks into D block library area. Books and bags get wet. The building maintenance is clearly not done properly.",Library,Infrastructure,Medium
Hostel: There is too much oil in the food.,Hostel,Mess/Food,Low
College events are held on weekdays during college hours this disturbs regular lectures and students suffer. Schedule events on weekends or free periods.,Classroom,Other,Low
A faculty member consistently ignores questions from certain students while responding to others. Clear bias and discrimination visible in classroom.,Classroom,Ragging,High
"I've been attending college for 3 years now and honestly the experience has been disappointing. The syllabus is outdated, professors lack real-world knowledge, placements are terrible, and the constant pressure of attendance and monday tests leaves no time for self-improvement. I tried to learn coding on the side, but after college hours I'm too exhausted from pointless tasks. The college needs a complete overhaul of its academic system. We are paying lakhs of rupees for this education and deserve better.",Classroom,Academics,Low
"Classroom: Monday tests are making students lack behind in their day to day task , and not helping them to progress further.",Classroom,Academics,Low
"Library: No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Library,Other,Low
As an OHU student I totally depend on the college mess for my meals. The quality of food here is genuinely terrible. Chapati is so thin it tears when you try to pick it up. Dal has no taste it's literally just hot water with a hint of yellow color. The paneer gravy is oily and watery at the same time somehow. And they charge 60 rupees for this! My mom makes better food at home in 10 rupees. Please either improve the food quality or reduce the price. Students cannot study properly if they're not eating well.,Hostel,Mess/Food,Medium
Classroom: lab systems too old to run modern software.,Classroom,Technical Issues,Low
"Library: College does not provide any platform to develop skills. No hackathons, no workshops, no industry visits. Only books and tests.",Library,Academics,Low
Classroom: Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Classroom,Ragging,Medium
Classroom: They stop students from graduating because of attendance. Ridiculous.,Classroom,Academics,Low
"Classroom: Being honest here the monday MSC tests are absolutely pointless. We are engineering students, not school kids. Every monday we have to mug up something, write a test, and the marks go into our ISA which affects SGPA. This creates unnecessary anxiety and leaves no weekend for actual learning. Companies hire for skills, not for monday test marks. Please scrap this system or at least make it optional. Our mental health matters too.",Classroom,Academics,Low
Classroom: The college portal is down.,Classroom,Technical Issues,Low
Pedestrian Area: In labs there are many issues of socket students use pen to put their chargers.,Pedestrian,Infrastructure,Low
Some professors teach entirely in Marathi. Students from other states or non-Marathi backgrounds cannot follow anything. They should teach in English or Hindi.,Classroom,Other,Low
Classroom: A group of seniors block certain spots in the canteen and juniors are afraid to sit there. This kind of territorial behavior is a form of ragging.,Classroom,Ragging,High
Main Gate: There is a smell in the corridor.,Main Gate,Cleanliness,Low
WiFi signal doesn't reach hostel blocks properly. Students who stay in hostel have no reliable internet for evening studies.,Hostel,Technical Issues,Medium
Classroom: Why is 100% attendance compulsory?,Classroom,Academics,Low
"Classroom: Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Classroom,Other,Low
The geyser in the C wing of the hostel block does not work. Taking a bath with cold water in winter is not okay. Please fix it.,Hostel,Infrastructure,Medium
The AC in the classroom is not working.,Classroom,Technical Issues,Medium
Hostel: Water leakage in washroom has created mold on walls. Black patches visible. This is a health hazard mold causes respiratory problems.,Hostel,Cleanliness,Low
Hostel: The canteen closes early sometimes without any notice. Students who have labs until late have no food option. Extend the timing.,Hostel,Mess/Food,Low
Classroom: The smell from the washroom near the stationery area is coming into the corridor. It's very unpleasant and students avoid that area. Deep cleaning is needed.,Classroom,Cleanliness,Low
Library: College events waste money.,Library,Other,Low
"Main Gate: The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Main Gate,Cleanliness,Low
"Library: Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Library,Technical Issues,Low
Pedestrian Area: There is no soap in the washroom.,Pedestrian,Cleanliness,Low
Library: Lack of internet in college pc.,Library,Technical Issues,Low
Classroom: The projector is not working in the lab.,Classroom,Technical Issues,Medium
"Hostel: Canteen staff is rude when you ask for extra roti or point out something wrong with the food. We are customers, treat us with respect.",Hostel,Mess/Food,Low
"Hostel: No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Hostel,Other,Low
The teacher used abusive language in class.,Classroom,Ragging,Medium
A professor repeatedly rejects a student's assignment without a proper reason and publicly embarrasses them. It seems like targeted harassment.,Classroom,Ragging,High
Library: No wheelchair accessibility ramps in older buildings. Students with mobility issues cannot access certain floors. This is a serious inclusion failure.,Library,Infrastructure,Medium
The college library doesn't have enough reference books for new elective subjects. We have to rely on internet which isn't always reliable.,Library,Other,Low
The geyser in the C wing of the hostel block does not work. Taking a bath with cold water in winter is not okay. Please fix it.,Hostel,Infrastructure,Medium
"Pedestrian Area: The parking area is completely unorganized. No designated spots, vehicles parked randomly it creates traffic jams every morning and evening.",Pedestrian,Infrastructure,Low
"Classroom: College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Classroom,Other,Low
"I want to formally complain about the quality of food being served in the college mess. The food is regularly tasteless, poorly cooked, and sometimes even smells off. The gravy dishes are extremely watery. The chapatis are so thin they fall apart. The price has increased but quality has only gone down. Many students including myself have faced stomach issues after eating from the mess. This is a serious health concern and needs immediate attention from the college administration.",Hostel,Mess/Food,Medium
faculty discriminates students.,Classroom,Ragging,Medium
classroom windows broken hain.,Classroom,Infrastructure,Medium
"Pedestrian Area: Vending machine accepts only exact change no change given back, no card/UPI. This is 2026, please upgrade the machine.",Pedestrian,Other,Low
There is sometimes a suspicion of adulteration in the food. The quality is so poor that the taste genuinely seems suspicious. Conduct health checks on the mess food.,Hostel,Mess/Food,Medium
Hostel: The food remains stale.,Hostel,Mess/Food,Low
Main Gate: socket problem in labs.,Main Gate,Infrastructure,Low
Library: Poor internet.,Library,Technical Issues,Low
Hostel: M-block canteen doesn't accept UPI which is super inconvenient. We are college students most of us don't carry cash. Please update your payment system bhai.,Hostel,Mess/Food,Low
"Classroom: College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Classroom,Other,Low
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Classroom,Technical Issues,Low
"Main Gate: Lost and found system doesn't exist in this college. If something is lost, no official way to report or recover it.",Main Gate,Other,Low
Hostel: Improper management of queue in canteen.,Hostel,Mess/Food,Low
"Hostel: The quality of the food and food service is not so good as compared to the price. Many students are ohu and some live in pg, also in college the food should be affordable and also the quality should be good.",Hostel,Mess/Food,Low
Classroom: There are stains on the washroom tiles.,Classroom,Cleanliness,Low
Library: The Wi-Fi login system is faulty.,Library,Technical Issues,Low
Classroom: no placements from this college.,Classroom,Academics,Low
Classroom: A student was asked by senior to share their assignment for 'reference' and was threatened that they'd be made uncomfortable otherwise. Clear coercion.,Classroom,Ragging,High
Main Gate: Outside the college campus the road is very uneven and not safe. Students walking from the gate to bus stop are at risk especially after dark.,Main Gate,Infrastructure,Low
"Studying in the library has become torture. There are books, a quiet environment, and seats, but no AC. In Mumbai's heat, it is impossible to sit for more than an hour without AC. I have personally seen students studying while soaked in sweat. It has been months and nothing has been done. This is a basic facility. Please fix the AC in the library on priority.",Library,Technical Issues,Low
Library: Light bulbs in some classrooms are of very low wattage it's dim and strains the eyes during reading. Upgrade to proper bright lighting.,Library,Infrastructure,Low
"Honestly, I became unwell after eating the mess food once. I had an upset stomach for 2 days. The college needs to ensure that food hygiene standards are met.",Hostel,Mess/Food,Medium
Hostel: The area outside is not safe.,Hostel,Infrastructure,Low
"Torturing students for attendance and assignments and mid semester examination having no use in future because attending lectures where professors themselves doesn't know what to teach makes no sense, doing assignments without knowing what teacher has taught, giving mid semester examination without knowing what's the syllabus!!!",Classroom,Academics,Low
Classroom: Water purifier near the canteen has greenish deposits inside algae growth. We are drinking that water. Please clean and service it immediately.,Classroom,Cleanliness,Low
Hostel: The Misal pav bread remains stale. The Chawli vegetable has a bad smell. And papad is almost never available. Is this food worth 60 rupees? Absolutely not.,Hostel,Mess/Food,Low
"Classroom: Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Classroom,Technical Issues,Low
Library: 202 AC is not working.,Library,Technical Issues,Low
Pedestrian Area: The door lock of the girls' bathroom is broken.,Pedestrian,Infrastructure,Medium
Library: Internet connection in D block labs is non-existent. We have to use our own mobile data for practicals. College should provide proper connectivity.,Library,Technical Issues,Low
Library: Student ID cards take 2+ months to be issued to new students. Many facilities require ID proof students are stuck without it.,Library,Other,Low
"Hostel: Bring more variety to the menu. Every day it is the same dal, vegetables, and chapati. Students also want to eat something new. Rotate the variety every week.",Hostel,Mess/Food,Low
"Classroom: Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily and are breathing dusty air. Allergies and respiratory issues are common complaints among students in these labs. A proper cleaning schedule for labs including wiping down systems, mopping floors, and dusting should be implemented at least twice a week. This is a basic requirement.",Classroom,Cleanliness,Low
"The language problem is serious in college. For students from outside Maharashtra, Marathi-medium faculty are a major barrier. Some professors teach the entire class in Marathi and speak only one line in English at the end. Non-Marathi students remain completely lost throughout the lecture. The teaching medium should be English or Hindi as per university guidelines. Please enforce this properly.",Classroom,Other,Low
"Classroom: The college expects innovation in projects but doesn't give us time, tools, or mentorship to actually innovate. Contradiction at its finest.",Classroom,Academics,Low
Hostel: There is no seating available during lunch.,Hostel,Mess/Food,Low
"Main Gate: There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Main Gate,Other,Low
The teacher bullied a student over the ID card.,Classroom,Ragging,Medium
"Pedestrian Area: There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Pedestrian,Other,Low
Classroom: The area behind the canteen is where all the garbage accumulates. It smells terrible and attracts insects. A proper waste disposal system is needed.,Classroom,Cleanliness,Low
"Classroom: Regular attendance for assignment submission, sincerity is compared with attendance, they don't allow to work on our self to develop new skills and after all this they want some innovation in our project, it is difficult to manage both and I think this is the reason why the placement rate is decreasing day by day.",Classroom,Academics,Low
Pedestrian Area: college bus facility nahi hai.,Pedestrian,Other,Low
Some professors don't know how to teach.,Classroom,Academics,Low
Senior students verbally abused juniors near the library and threatened them not to use certain chairs 'reserved' for seniors. This entitlement and intimidation needs to stop.,Library,Ragging,High
"Hostel: On Monday, the Chawli vegetable had such a bad smell that even the people at the next table were complaining. Even so, it was served. Is this acceptable? We are paying for decent food, not leftover smelly vegetables. There is also a shortage of papad, the Misal pav bread remains stale, and the same 2–3 items are served every day. If the canteen staff can be creative, please bring more variety. Students are bored with the same food.",Hostel,Mess/Food,Low
Library: Ladies washroom doors are not functional as the door locks are defective.,Library,Infrastructure,Low
Classroom: Not focused on particular subjects.. focuses on random things without giving proper weightage to each and every subject.,Classroom,Academics,Low
There is a language barrier in lectures.,Classroom,Other,Low
"Classroom: The pc's in the lab m411 does not work, it does not allow me to login my id.",Classroom,Technical Issues,Low
Classroom: The washroom cleaning schedule is not followed. It is cleaned in the morning and becomes dirty by afternoon. Cleaning should be done at least twice a day.,Classroom,Cleanliness,Low
Library: The staircase railing in B block is loose. It wobbles when you hold it. This is a safety hazard; someone could fall. Get it fixed before an accident happens.,Library,Infrastructure,High
"The AC in classroom 202 has been out of order for 2 months. During summer, it is difficult to sit even for an hour without AC. Please get it repaired already.",Classroom,Technical Issues,Low
"Library: I am writing this complaint on behalf of many students who are concerned about the hygiene conditions in the college washrooms, particularly in blocks C and D. The washrooms are cleaned only once in the morning. By 11am they are in a deplorable condition floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. The administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily.",Library,Cleanliness,Low
Library: printer out of order hai.,Library,Technical Issues,Low
Classroom: The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Classroom,Other,Low
Hostel: Poor quality & highly price food.,Hostel,Mess/Food,Low
"Classroom: Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Classroom,Technical Issues,Low
Classroom: Not giving time for students to build skills.,Classroom,Academics,Low
"Pedestrian Area: During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Pedestrian,Infrastructure,Low
Library: internet drops every 10 minutes.,Library,Technical Issues,Low
Library: Girls washroom doors do not have a lock/the locks are damaged .,Library,Infrastructure,Low
"Hostel: Misal pav is the most popular item, but the pav quality is always substandard. It is stale, hard, and sometimes has an unpleasant smell. Please conduct a basic quality check.",Hostel,Mess/Food,Low
"Pedestrian Area: College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Pedestrian,Other,Low
Pedestrian Area: socket problem in labs.,Pedestrian,Infrastructure,Low
"Classroom: The floor drainage system in the D block washroom is faulty. Water remains on the floor and makes it slippery. A student has already slipped there. This is waiting for an accident to happen. The flush also does not work properly. There is no soap. Overall, the washroom condition is very unhygienic. Please send the maintenance team to the D block washrooms on priority. This is a safety and hygiene emergency.",Classroom,Infrastructure,High
Pedestrian Area: A senior student was verbally aggressive with 2-3 juniors in the parking lot. Threatened them and used intimidating language. This is ragging and should be taken seriously.,Pedestrian,Ragging,High
Pedestrian Area: No bicycle parking area in college. Students who cycle to college have to leave them anywhere. Proper cycle stand should be provided.,Pedestrian,Other,Low
Pedestrian Area: The outdoor dustbins are open type no lid. Wind blows garbage all over campus. Use closed lid dustbins please.,Pedestrian,Cleanliness,Low
"Classroom: There is a layer of dust on the benches in the lab. The computers are also dusty. Clearly, regular cleaning is not done. This also reduces the equipment lifespan.",Classroom,Cleanliness,Low
Classroom: The vending machine does not work.,Classroom,Other,Low
"Library: The girls washroom of all the blocks especially d block are always dirty,the door knob of mostly all the stalls are broken ,the flush never works..so the washrooms of vit are in terrible condition and no one even cares to do anything about it.",Library,Cleanliness,Low
Classroom: Software required for our curriculum isn't installed on lab computers. We waste the first 30 minutes of every practical session installing tools.,Classroom,Technical Issues,Low
"Hostel: No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Hostel,Other,Low
Pedestrian Area: Washroom tiles in boys block have not been scrubbed in a long time. Stains and deposits everywhere. Deep cleaning is overdue.,Pedestrian,Cleanliness,Low
"Hostel: Paneer dishes are a disappointment every single time. Watery gravy, small pieces, and no flavor. For the price they charge, paneer should at least be decent.",Hostel,Mess/Food,Low
Library: college portal down hai.,Library,Technical Issues,Low
"Hostel: College canteen tables are rarely wiped after students leave. Leftover food, spills, and stains are visible on the tables. Is basic table cleaning not done?",Hostel,Cleanliness,Low
Professors who don't know the subject should not be teaching. Simple as that. Students deserve qualified and passionate teachers.,Classroom,Academics,Low
Pedestrian Area: Events schedule clashes with studies.,Pedestrian,Other,Low
Classroom: Cancel attendance factor.,Classroom,Academics,Low
Classroom: No dustbins inside lab rooms. Students have to walk to corridor to throw waste. Add dustbins inside labs please.,Classroom,Infrastructure,Low
"Hostel: College canteen tables are rarely wiped after students leave. Leftover food, spills, and stains are visible on the tables. Is basic table cleaning not done?",Hostel,Cleanliness,Low
Hostel: Chapatis are not good so thin and gravy smells and dal is like water no chana dal toor dal is there in it and the panner gravy is also so much watery And price is 60 for this.,Hostel,Mess/Food,Low
"Pedestrian Area: There is no proper grievance mechanism in college. We make complaints, whether verbally to the HOD or in a register, and we never hear back. Was it received? Is it being looked into? Is it resolved? There is zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none.",Pedestrian,Other,Low
Some teachers are just here for the money they didnt even teach as per their pay just come tell something and then didnt even come to check whether student finish their work or not so much layback attitude.,Classroom,Academics,Low
Library: There is garbage everywhere in the college.,Library,Cleanliness,Low
"Food quality in the mess is honestly below average. The paneer gravy is watery, the vegetables have no taste, and the same menu is served every day. Please bring more variety.",Hostel,Mess/Food,Medium
Not encouraging students to improve their skills but attend those typical lectures with 0 value.,Classroom,Academics,Low
Classroom: attendance problem in college.,Classroom,Academics,Low
Classroom: The toilet flush does not work.,Classroom,Cleanliness,Low
Library: garbage near canteen area.,Library,Cleanliness,Low
"Main Gate: Sweeping is done daily but with the same dirty broom it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Main Gate,Cleanliness,Low
"Hostel: Junior students are asked by certain seniors to fetch food, do errands, etc. under the guise of 'helping out.' This normalized ragging needs to be addressed.",Hostel,Ragging,High
Pedestrian Area: The washroom cleaning schedule is not followed. It is cleaned in the morning and becomes dirty by afternoon. Cleaning should be done at least twice a day.,Pedestrian,Cleanliness,Low
"Classroom: During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Classroom,Infrastructure,Low
Library: Notices are not received properly.,Library,Other,Low
Hostel: Canteen is overcrowded during the lunch break and it takes a long time to get the food and till then the lecture gets started.,Hostel,Mess/Food,Low
Classroom: The ISA weighting in SGPA is so high that one sick student's entire semester can be ruined. There is no flexibility for genuine cases.,Classroom,Academics,Low
There is dust everywhere in the classroom.,Classroom,Cleanliness,Low
Hostel: The dal is mostly water.,Hostel,Mess/Food,Low
"Library: The door locks in the girls' washroom are broken in almost every stall. We have to hold the door or wait for the one with a working lock. During breaks, it is very stressful and time-consuming.",Library,Infrastructure,Medium
Main Gate: There is no soap in the washroom.,Main Gate,Cleanliness,Low
Hostel: There is no support for students who live far away.,Hostel,Other,Low
Pedestrian Area: Used tissue and garbage often found near the water cooler area. Students and cleaning staff both need to take responsibility.,Pedestrian,Cleanliness,Low
Classroom: The washroom flush does not work.,Classroom,Infrastructure,Low
"After rains, puddles form in campus walkways and become breeding grounds for mosquitoes. Proper drainage maintenance is needed.",Pedestrian,Cleanliness,Low
Hostel: Food hygiene is very questionable. Once I found something in my food that shouldn't be there. No proper covering of food items. This is a health risk.,Hostel,Mess/Food,Low
Hostel: Cleaning is not done properly.,Hostel,Cleanliness,Low
There is too much rush in the canteen during lunch time. Stand in the queue for 30 minutes and then the lecture is missed. There is also so little seating that there is no place to sit.,Classroom,Mess/Food,Low
"Classroom: Emergency exit signs in C block are faded and barely visible. In case of fire, this could be life-threatening. Please repaint them.",Classroom,Infrastructure,High
Classroom: internet drops every 10 minutes.,Classroom,Technical Issues,Low
Main Gate: The lights in the corridor are not working.,Main Gate,Infrastructure,Medium
Classroom: monday test hata do please.,Classroom,Academics,Low
"Pedestrian Area: In college, the responsibility for cleaning is placed only on the cleaning staff, but there is no quality check by the administration. Create an accountability system.",Pedestrian,Cleanliness,Low
Classroom: software license expired hai.,Classroom,Technical Issues,Low
Classroom: The lab floors are dirty.,Classroom,Cleanliness,Low
"Main Gate: College social media pages post irrelevant content. Important announcements should be made on official channels, not buried under event photos.",Main Gate,Other,Low
"A professor humiliated a student in the exam after accusing them of cheating. Strict action is understandable, but public humiliation is not.",Classroom,Ragging,Medium
Food in the mess should be affordable for OHU students. 60–70 rupees per meal is too much for what they serve. The quality and price do not match.,Hostel,Mess/Food,Medium
"Hostel: Vending machine near the canteen has been out of order for 3 weeks now. After 5pm when canteen closes, students have no food/snack option. Please fix it.",Hostel,Other,Low
The professor humiliated a student in class.,Classroom,Ragging,Medium
Faculty member has a habit of making examples of students who perform poorly by announcing their marks publicly. This is humiliating and discouraging.,Classroom,Ragging,Medium
Pedestrian Area: Benches in the canteen outdoor area are broken. Students sitting on them risk getting hurt. Replace them please.,Pedestrian,Infrastructure,Medium
"Pedestrian Area: No proper first aid room or medical facility on campus. If a student falls ill or gets injured, there's no immediate help available.",Pedestrian,Other,Low
AC in room 301 makes a huge noise it's distracting during lectures. Either fix the sound or replace the unit.,Classroom,Technical Issues,Low
Library: No hand sanitizers or soap available in washrooms. During flu season this is a major hygiene risk for everyone in the college.,Library,Cleanliness,Low
"Main Gate: Sweeping is done daily but with the same dirty broom it just moves the dust around, doesn't clean. Use proper mops with disinfectant.",Main Gate,Cleanliness,Low
AC in room 301 makes a huge noise it's distracting during lectures. Either fix the sound or replace the unit.,Classroom,Technical Issues,Low
Pedestrian Area: no soap dispenser in washroom.,Pedestrian,Infrastructure,Low
Library: The biometric attendance machine in D block has been broken for weeks. Manual attendance being taken is inconsistent and leads to disputes.,Library,Technical Issues,Low
Library: The area behind the canteen is where all the garbage accumulates. It smells terrible and attracts insects. A proper waste disposal system is needed.,Library,Cleanliness,Low
"Pedestrian Area: There is no bus facility for students coming from far areas. We spend 4-5 hours in travel daily. If college can arrange even one route, it would help many students.",Pedestrian,Other,Low
"Classroom: The electrical infrastructure in the labs is very dangerous. Sockets are so worn out that plugs don't fit students literally use pens to push in charger pins. This is an electrical hazard and someone could get seriously hurt. This has been like this for months and no maintenance has been done. Along with this, several lab benches are broken. Students can't work comfortably in such conditions. The maintenance team needs to do a complete lab inspection immediately.",Classroom,Infrastructure,High
Classroom: Students are not given access to the iMac lab. Such expensive hardware has dust on it. What is the point of buying it if students cannot use it?,Classroom,Technical Issues,Low
"The teacher publicly removed a student from class for no valid reason. It was humiliating, and the student was visibly upset. This is not acceptable.",Classroom,Ragging,Medium
Library: There is no counseling service.,Library,Other,Low
"A faculty member calls on students who seem distracted and mocks them sarcastically. 'You are a celebrity, should we wait for you?' This is demeaning.",Classroom,Ragging,Medium
The teacher is rude to students.,Classroom,Ragging,Medium
"I am a 3rd year CE student and honestly the academic pressure here is unbearable. We have monday tests every week, ISA exams, practicals, and on top of that tons of assignments with declaration pages for each one. Where is the time to actually learn something? I want to build projects, prepare for interviews, learn new technologies but the college keeps us so busy with pointless tasks that there's no time left. The professors themselves admit that half the syllabus won't be used in real life. Then why are we being evaluated on it? Please reconsider the academic structure.",Classroom,Academics,Low
